name,num,star,sug1,sug2,sug3
润酱面馆功夫菜(陕西南路店),127831990,准五星商户,东海黄鱼煨面,炸猪排,本帮熏鱼
夏味馆,500947,准五星商户,糖醋小排,热爆熏鱼,哆来咪
乐忻皇朝(世纪汇店),110625187,准五星商户,特色皇朝小笼包（八色）,红油抄手,芝麻酱油麦菜
老爸厨房(南洋1931店),126152313,准五星商户,养生黑豆腐,黑椒牛肉粒炒年糕,老爸自制色拉
蔡记妈妈菜,129672126,准五星商户,烤鸭,龟苓膏,铁板香芋
星卤里 大师们的味道(曹路宝龙广场店),129967848,准五星商户,招牌星卤花胶鸡,招牌老上海酱鸭,酱卤三宝
上海人家精作坊(航站店),14184826,准五星商户,老上海熏鱼,我家红烧肉,我家黄鱼春卷
幸龙餐厅(报春路店),505326,准五星商户,香辣小龙虾,烤带子,十三香大龙虾
肥猫餐厅(嘉定宝龙店),67499870,准五星商户,连骨头都不剩的鸡爪,手工红糖麻糍,石锅土豆肥牛
金茂君悦·俱乐部 Club Jin Mao,503802,五星商户,水晶河虾仁,油爆虾,黑椒牛仔粒
圆苑浦江,6295252,准五星商户,鼎苑宫廷烤鸭,酒香蒸鲥鱼,功夫真菌汤
逸庐(古北店),16967298,准五星商户,煎煮狮子头,牛肉粒,熏鱼
金时代顺风大酒店(中环店),17785842,准五星商户,脆皮乳鸽,本帮熏鱼,爆浆榴莲
荷风细雨(碧云店),69681722,准五星商户,桂花熏鱼,雀舌蟹粉狮子头,铁观音豆浆煮鱼片
米桃•十里春风(特力时尚汇店),91974431,准五星商户,招牌无锡蟹粉小笼包,姑苏松鼠鲈鱼,鸡汁宜兴笋干
金时代顺风大酒店(莲花广场店),4548771,准五星商户,脆皮乳鸽,本帮熏鱼,黄鱼煨面
开心食堂,123686300,准五星商户,特色熏鱼,红烧河鳗,椒盐排骨
暗恋桃花源(七宝万科广场店),98007821,准五星商户,金屋藏娇,石锅豆腐鱼,新镇店桃源红烧肉
韵秋荷(龙湖天街店),113189023,准五星商户,荷香烤鸭,荷香狮子头,鼎炉红烧肉
上海卓越铂尔曼大酒店·蓝中餐厅,124460944,五星商户,腐乳鹅肝佐葱油饼,杨枝甘露伴椰子冰激凌,糟骨头农家肉饼蒸三门蟹
权茂上海菜,130890201,准五星商户,上海红烧肉,上海白斩鸡,本帮熏鱼
御·食珍 宫廷膳品,112042747,五星商户,樱桃鹅肝落地花生,诺顿云耳,香锅驴肉
漢舍中国菜馆(协信星光广场店),56583024,准五星商户,漢舍招牌果木烤鸭,老上海葱油鸡,鸭架泡饭
戎楽(东兰路店),112092887,准五星商户,鲜肉小笼,咸蛋黄小笼,小馄饨
食八档·小网海鲜(香港广场店),96510734,准五星商户,家烧九肚鱼,红糖麻糍,碧绿炒猪肝
天钥小馆(天钥桥路店),127221162,准五星商户,清远手撕鸡,糖醋里脊,干炸带鱼
老头儿油爆虾(凯德七宝店),102482082,准五星商户,干炸带鱼老头儿真传,油爆基围虾,老头儿油爆河虾
荣城酒家,18264604,准五星商户,龙虾泡饭,黄金流沙包,荣城一品煲
八爷上海菜·招牌肺头汤(昭化路店),104872886,准五星商户,八爷招牌肺头汤,鳝丝,油爆虾
老爸厨房(莘建东路店),22914250,五星商户,老爸自制色拉,黑椒牛肉粒炒年糕,炸猪排
漢舍中国菜馆(七宝万科广场店),72343104,准五星商户,漢舍招牌果木烤鸭,老上海葱油鸡,汉舍果木烤鸭
玲然庭,129077806,准五星商户,阿婆红烧肉,浦东白切鸡,熟醉蟹
绿雅酒家,579071,准五星商户,油爆虾,黄鱼小馄饨,特色鱼面筋
老爸厨房(中展璞荟店),97426691,准五星商户,老爸自制养身豆腐,黑胡椒牛肉粒炒年糕,老爸特色炒饭
宝燕海货工场·宁波菜海鲜加工(大宁店),76836809,准五星商户,椒盐虾菇,蒜蓉粉丝蒸小鲍鱼,芝士焗龙虾
香闺里(日月光中心广场店),98479729,准五星商户,鲍鱼花胶鸡锅,神仙花胶鸡,杏鲍菇
五星8号(张江店),120032675,准五星商户,小笼包,老上海熏鱼,葱油拌面
御璟轩(金虹桥国际中心店),67775427,准五星商户,pic金牌果香烤鸭,现拆蟹粉丝油条,招牌御璟轩红烧肉
悦轩,22383451,准五星商户,甜点,三文鱼,秋葵脆皮红酒鹅肝
二扁私房面馆(崂山路店),101940532,准五星商户,生爆牛肉丝拌川,片儿川,猪肝面
巨鹿春晓,98793703,准五星商户,长江刀鱼,活鲥鱼,老上海熏鱼
沪碟·摩登时代,111857260,准五星商户,不一样的芋艿,招牌水晶鸡,不将就仙骨鱼
踵香,4064431,准五星商户,脆皮蹄膀,桂花豌豆方,老上海熏鱼
乐忻皇朝(环贸iapm商场店),13784645,准五星商户,招牌原味小笼包,红油抄手,特色皇朝小笼包（八色）
淘小馆(君欣时代广场店),102030460,准五星商户,红柳枝炭烤肉,醉爱花雕鸡,咸蛋黄土豆条
南京大牌档(七宝宝龙城店),66984334,准五星商户,天王烤鸭包,老牌阳春面,民国美龄粥
靓灶小院(浦江店),90274867,准五星商户,北京烤鸭,烤羊肉串,靓灶罐焖鸡
宫饌,583887,四星商户,百花翡翠桂鱼卷,香煎藕饼,泰皇咖喱大虾
金时代顺风大酒店(四平路店),5115653,准五星商户,脆皮乳鸽,顺风虾饺皇,顺风臭豆腐
浙里(东育路店),124055477,准五星商户,海鲜小咖,葱油蛏子,搓椒脆皮黑猪粒
金时代顺风港湾(环球港店),12286682,准五星商户,爆浆榴莲,脆皮烤乳鸽,黄鱼煨面
菜之味,130338805,准五星商户,乳鸽,老妈红烧肉,上海生煎
怒江羊肉馆,130326750,四星商户,白切羊肉,红烧羊肉面,爆炒羊肚
锦庐,1917430,准五星商户,锦庐甜品,第三代龙虾三部曲,黄焖鱼翅
上海1号私藏菜(卢湾店),2786317,准五星商户,外婆红烧肉,油爆虾拼虾仁,火山石烧裙翅
聚鑫阁(七莘路店),97684945,准五星商户,石锅香芋,铁板蒜香虾,鱼头
新白鹿餐厅(百联西郊店),95910131,准五星商户,蛋黄鸡翅,糖醋排骨,冰淇淋烤布雷
乐忻皇朝汇(国金中心商场店),8959174,准五星商户,红油抄手,八色皇朝小笼包,瑶柱芙蓉赛螃蟹
衡山马勒别墅·中餐厅,501013,四星商户,马勒传统下午茶,鹅肝酱,红酒小牛排
真如羊肉馆,572415,四星商户,红烧羊肉面,白切羊肉,羊汤面
胖哥俩肉蟹煲(中山龙之梦店),90707796,准五星商户,招牌肉蟹煲,牛蛙煲,鸡翅煲
慧公馆MAISON DE L'HUI(思南公馆店),4506957,准五星商户,双人下午茶,黄鱼捞面,石烧极品雪花牛肉
名厨本帮馆,24781736,准五星商户,咸蛋黄排条,响油鳝丝,八宝辣酱
新大陆-中国厨房,2203207,准五星商户,北京烤鸭,石锅银鳕鱼,五粮液炒豆苗
逸谷会(兴国路店),2049181,准五星商户,山葵炸虾球,XO酱海皇豆腐,招牌熏鱼
四如春食府,507139,四星商户,锅贴,冷面,鲜肉月饼
丰和日丽(市百一店),102196319,准五星商户,老娘一手好牌,陈年花雕醉鸡,鲳鱼焖饭
五星8号(北蔡店),97261173,准五星商户,老上海熏鱼,澳门蜜制烧排,咸肉水笋
夫人花园·千岛湖鱼头馆(东鼎店),123693704,准五星商户,夫人花园千岛湖鱼头,千岛湖桂花糕,千岛湖鱼头汤
浦江小厨,122150080,准五星商户,浦江小黄鱼,招牌白斩鸡,椒盐排条
老头儿油爆虾(巴黎春天淮海店),76766756,准五星商户,杭州老头儿油爆虾河虾,干炸带鱼,桂花糖年糕
金时代顺风大酒店(川沙百联店),91025100,准五星商户,顺风乳鸽,虾饺皇,顺风臭豆腐
蘇小柳点心专门店(北蔡店),102071318,准五星商户,鲜肉小笼,大根蒜香骨,海鲜菜泡饭
蘭心餐厅(白玉兰购物中心店),126768551,四星商户,鳝丝,酱鸭,蟹味土鸡蛋
金时代顺风大酒店(吴中路店),6132529,准五星商户,顺风乳鸽,本帮熏鱼,顺风臭豆腐
福兴荟(King88广场店),97825393,准五星商户,淮安长鱼,扬州大煮干丝,十三香小龙虾
讌·海派融合菜,127816792,五星商户,私房红烧肉,老上海熏鱼,油爆虾
食庐(紫荆广场店),38155177,准五星商户,菜包狮子头（经典招牌）,淮扬软兜（经典招牌）,牛油果三文鱼龙虾沙律
老绍兴家味坊,130157431,准五星商户,老绍兴三黄鸡,桂花红烧肉,千岛湖砂锅鱼头
姜君·千岛湖鱼头馆(三林店),127137621,准五星商户,姜君千岛湖鱼头,玉米慕斯,艾草香米糕
中谷小南国花园酒店·食光隧道,8685658,准五星商户,老上海熏鱼,香酥小黄鱼,荠菜大馄饨
蘭心餐厅(陆家嘴中心店),122122069,准五星商户,兰心酱鸭,油爆河虾,响油鳝丝
THE er·得尔·中餐厅,104079245,准五星商户,澳洲和牛炒年糕,文火安格斯小牛肉,芥味油爆小河虾
金米箩大酒店(乍浦路店),19415701,准五星商户,菠萝色拉,黑椒牛菲粒,有馅酒酿圆子
靓灶小院(四平路店),21174343,准五星商户,北京烤鸭,蒜蓉粉丝虾,鹰嘴豆煨脆骨
蘇小柳点心专门店(徐家汇店),69514540,准五星商户,晚梗米海鲜泡饭,蘇小柳鲜肉小笼,蘇小柳白切鸡
饭香渔市,130349340,四星商户,饭香招牌片皮鸭,白切竹林散养鸡,特色本帮红烧肉
乐忻皇朝(芮欧百货店),94308070,准五星商户,特色皇朝小笼包（八色）,红油抄手,瑶柱芙蓉赛螃蟹
荷风细雨(虹桥店),98945137,准五星商户,金牌普洱红烧肉,酥不腻北京挂炉果木烤鸭,膏蟹醉花螺
长阳公馆(大宁店),114557560,准五星商户,鲥鱼,雪花牛仔粒,温炝腰蛤
香旮旯(三林店),43624451,准五星商户,烤鸭,咖喱皇炒蟹,清炒河虾仁
客官(爱琴海购物公园店),97793131,准五星商户,总统桂花拉糕,荷香烤鸡王,佛跳墙
老头儿油爆虾(百联中环购物广场店),92414747,准五星商户,杭州老头儿油爆虾河虾,干煎带鱼,酱鸭
夫人花园·千岛湖鱼头馆(中环百联店),130954509,准五星商户,夫人花园千岛湖鱼头,法式芝士山药,千岛湖豆腐皮砂锅
大宁948绿色私房菜,79628936,准五星商户,崇明土鸡两吃,响油鳝丝,不一样的大鱼头
庄行曹记羊肉(金平路店),113912261,准五星商户,热气羊肉,羊汤面,红烧羊肉锅小锅
锦园上海菜(进贤路店),73398116,准五星商户,酒香草头,田螺塞肉,响油鳝丝
东湖宾馆(东湖厅),38117862,准五星商户,本帮鳝糊,老上海熏鱼,酒酿圆子
金时代顺风大酒店(汇银广场店),6427885,准五星商户,脆皮乳鸽,本帮熏鱼,本帮红烧肉
HOME'S私房菜(淮海西路店),93470517,准五星商户,特色红烧肉,上等牛肉粒,黑鱼子酱烟熏蛋
云庐(陆家嘴店),6854819,五星商户,干煎东海带鱼,水晶蟹,沙蒜烧薯面
蘇小柳点心专门店(旭辉广场店),98940666,准五星商户,晚粳米海鲜泡饭,蘇小柳鲜肉小笼,大根蒜香骨
暗恋桃花源(中山公园龙之梦店),90586454,四星商户,金屋藏娇,飘香豆腐鱼,一桶美极虾
上海1号私藏菜(静安寺店),2497894,四星商户,老弄堂红烧肉,油爆虾拼虾仁,火山石烧裙翅
老头儿油爆虾(百联南方购物中心店),75692149,准五星商户,杭州老头儿油爆虾河虾,干煎带鱼,烫口石锅雪花鱼
小酒肆·老茶馆,96133575,准五星商户,桃花酿,石锅土豆腐煲,10年陈手工冬酿封缸花雕老酒（坛）
光明邨大酒家,22804671,准五星商户,响油鳝丝,鲜肉月饼,特色酱鸭
兰亭叙(涞亭南路店),22049552,准五星商户,上海熏鱼,臭鳜鱼,海鲜毛血旺
蘇小柳点心专门店(康桥店),65790862,准五星商户,晚粳米海鲜泡饭,现拆蟹粉小笼,白斩鸡
圆苑(徐汇日月光店),97461270,四星商户,圆苑红烧肉,脆皮小乳鸭,花雕蒸鲥鱼
小堂宴(虹莘路店),127754124,准五星商户,三姨太陈皮虾,外婆神仙鸡,鲍鱼捞饭
农家大灶台(牟平路店),43814502,四星商户,地锅鸡,剁椒皮蛋,正宗苏北散养土鸡
聚鑫阁(康桥店),129659565,准五星商户,石锅香芋,鹅肝酱捞粉丝,外婆红烧肉
苏浙汇(古北店),3255358,准五星商户,越式牛肉粒,招牌清蒸鲥鱼,熏鱼
70后·绍东家(周浦万达店),92854042,准五星商户,绍氏酥鱼,梅干菜狮子头,东家葱香芋头
晶会轩(龙柏店),92074062,五星商户,酥不腻精品烤鸭,香煎东海带鱼,龙虾泡饭
丰和日丽(上海中心大厦店),69952338,准五星商户,鲳鱼焖饭,老娘一手好牌,葱油膏蟹
蝶园(BFC外滩金融中心店),126620480,四星商户,红烧肉,手撕鸡,手剥河虾仁
远洋海皇旋转餐厅,127001544,四星商户,沙田脆皮鸽,海皇虾饺皇,深井烧鹅
廊亦舫酒楼(金桥店),580436,准五星商户,生煎包,松鼠桂鱼,烤鸭二吃煮汤
仪凤轩,98717123,准五星商户,油爆虾,大汤黄鱼煮干丝,鱼笃鲜
绣丽餐厅(张江店),17637124,准五星商户,手撕包菜,酸汤肥牛,葱烤石板牛仔骨
肥猫餐厅(江桥店),21738688,准五星商户,手工红糖麻糍,连骨头都不剩的鸡爪,傣味烤鸡
夏1999精致本帮菜,69231724,四星商户,响油鳝糊,金玉满堂,松茸马兰头
皇廷御宴,76660171,五星商户,清蒸鲥鱼配面盏,皇廷虾肉汤包,清炒手剥凤尾虾
雍福会,503472,四星商户,招牌油爆虾,枣泥酥,蟹粉鱼翅
乐忻皇朝(凯德晶萃店),113120398,准五星商户,特色皇朝小笼包（八色）,红油抄手,芝麻酱油麦菜
暗恋桃花源(打浦桥日月光店),67730950,四星商户,石锅豆腐鱼,金屋藏娇,桃花源红烧肉
海金滋(恒生银行大厦店),98907292,准五星商户,葱烤大排,蟹粉蛋,酱爆猪肝
小侑宴·花容月宴(东昌路店),130178159,准五星商户,果木烤鸭,菠萝咕噜肉,咸蛋黄牛蛙锅巴
海隆江浙菜(日月光店),103586382,准五星商户,黑叉烧,野山蒜鲜虾皇,咸卤姜蓉鸡
乐忻皇朝(万象城店),93975467,准五星商户,特色皇朝小笼包,红油抄手,芝麻酱油麦菜
蘭心餐厅(进贤路店),503165,四星商户,红烧肉,酱鸭,草头
汇富阁(无限极荟店),127596527,四星商户,红酒酿小圆子,橙香越式牛肉粒,黄鱼馄饨汤
步高里老上海弄堂菜,128494745,四星商户,草头圈子,毛蟹炒年糕,椒盐排条
金时代顺风大酒店(天虹商业广场店),77593798,准五星商户,脆皮乳鸽,顺风臭豆腐,本帮红烧肉
金时代顺风大酒店(金玉兰店),2449261,准五星商户,脆皮乳鸽,本帮红烧肉,剁椒蔊菜杆臭豆腐
和记小菜(七宝店),500242,准五星商户,清炒河虾仁,招牌生煎包,招牌水晶鸡
丰收鱼米乡(上滨店),131579845,准五星商户,安吉竹林鸡,红烧土猪肉,酒酿圆子
双塔老饭店,94309900,准五星商户,南翔小笼包,响油鳝丝,茨毛圆子
舌韵传菜,45437542,准五星商户,舌韵天麻鸡,响油鳝丝,话梅熟醉虾
扬子江万丽大酒店翠竹小馆,503208,准五星商户,黄鱼面,黑胡椒围虾煲,云吞
上只角餐室,102164081,四星商户,酒酿奶冻,响油鳝糊,老克勒土豆色拉
古井坊,69504727,准五星商户,拆骨咸菜黄鱼面,酱鸭面,鳝丝面
肥猫餐厅(新桥店),111602040,准五星商户,连骨头都不剩的鸡爪,外婆红烧肉,美人猪手
尧尧羊肉馆,3029089,四星商户,白切羊肉,羊肚,羊汤面
山笑本味浙东菜,107868079,准五星商户,鉴洋湖湿地老鸭炖饺子,现做手工豆腐皮,石臼现捣松花麻糍
懂经爷叔,73619695,四星商户,私房红烧肉配车厘子,本帮响油鳝丝,咸蛋黄油爆虾
上海1号私藏菜(黄浦店),3876475,四星商户,外婆红烧肉,老上海熏鱼,油爆虾拼虾仁
崇明小白羊面馆,2079145,准五星商户,白切羊肉,红烧羊肉锅仔,炒羊杂
汾阳花园酒店·餐厅(徐汇店),18978459,四星商户,双人下午茶,巧克力布朗尼,大吉岭午茶
荣府宴,57149799,五星商户,黄鱼,清炖仙居雪鳗,干煎带鱼拼熏鲳鱼
鲜菜坊(枫泾店),101917378,准五星商户,蒜香河鳗,河鲜面疙瘩,自酿米酒
丁香(汇智国际商业中心店),21746299,准五星商户,招牌香港脆皮鸡,元宝虾,招牌美人蛙
隐聚,104289103,准五星商户,笋干红烧肉,泾县黑芝麻臭干,炆火焖牛肉
望乡楼精膳坊(189弄购物中心店),75095687,准五星商户,黄鱼馄饨,越式牛肉粒,江南元宝虾
弄堂里(大融城店),107427542,四星商户,弄堂里的卤鸡爪,棒棒的蛋黄鸡翅,招牌麻糍
肥猫餐厅(青浦宝龙店),114843778,准五星商户,连骨头都不剩的鸡爪,石锅土豆肥牛,外婆红烧肉
食八档(第一百货店),97721202,四星商户,红糖麻糍,家烧九肚鱼,神仙居山水石锅豆腐
甬鲜阁宁波精菜坊,110832883,四星商户,宁波烤菜,咸蛋黄南瓜,鲜甬阁·甬味鸡
红馆海派餐厅,130517772,准五星商户,威灵顿鹅肝溏心鲍,主厨独创爆汁米鸭仔,蒜香黑椒和牛粒
金时代顺风大酒店(瑞虹店),5740715,准五星商户,脆皮乳鸽,本帮红烧肉,鲜虾韭菜饺
心乐蝶舞江景美食(梅赛德斯奔驰店),5139060,准五星商户,老上海熏鱼,招牌红烧肉,鹅肝
龙岛大酒店,2118307,准五星商户,烂糊面,油浸蚕豆,木桶河虾
大师家宴·新上海菜(汇兴庭店),95947569,准五星商户,鲍鱼烩猪手,茄子鳝丝,熏鱼
157食坊,18176958,准五星商户,响油鳝丝,舌尖油爆虾,上海熏鱼
和满堂(川沙旗舰店),126159437,准五星商户,肉皮汤,响油鳝丝,招牌热熏鱼
享江南臻品徽菜(大华店),18492880,准五星商户,享江南手工豆腐,黄山野生臭桂鱼,金丝饼
上海小南国(正大广场店),503176,四星商户,老上海蟹粉豆腐,清炒野生河虾仁,外婆红烧肉
蘇小柳点心专门店(合生汇店),99057998,四星商户,蘇小柳鲜肉小笼,晚粳米海鲜泡饭,蘇小柳白切鸡
金时代顺风大酒店(第一八佰伴店),5317141,四星商户,脆皮乳鸽,澳带鲜虾饺,顺风黄鱼煨面
新白鹿餐厅(百联南桥店),128342295,四星商户,冰淇淋烤布雷,蛋黄鸡翅,糖醋排骨
启韵公馆(德丰路店),17144787,准五星商户,泰式咖喱虾,红烧肉,老上海熏鱼
南小馆(正大广场店),110266109,四星商户,手指小笼生煎,黑松露鲜肉小笼汤包,鸡汁鲜肉小笼包
老吉士酒家(兴业太古汇店),93540825,四星商户,吉士红烧肉,葱烤雅片鱼头,油爆虾
品修楼,94015523,准五星商户,脆皮芦花鸡,品修方糕,东星斑酸菜鱼
光明村配餐分公司,13878100,准五星商户,鲜肉月饼,酱鸭膀,干煎黄鱼
梅园春晓·精致上海菜(大悦城店),45831308,四星商户,牛油果油条虾,话梅仔排,特色酸菜鱼
国际饭店,2393404,四星商户,糟溜鱼片,烤鸭,原味蝴蝶酥
肥猫餐厅(九亭U天地店),75689332,准五星商户,外婆红烧肉,连骨头都不剩的鸡爪,红糖麻糍
稳得福107中餐厅(秀沿路店),8697236,准五星商户,宫保鸡丁,秘制大排,三杯雞
嘉庭老上海味道(大融城店),110669960,准五星商户,西湖牛肉羹,老上海色拉,熟醉蟹
外婆家(静安大悦城店),127997443,四星商户,麻婆豆腐,外婆茶香鸡,外婆红烧肉
暮光森林(南汇店),130472777,四星商户,暮光沸腾鱼,樱桃鹅肝,火龙果牛仔粒
香满炉枣木烤鸭(爱琴海购物公园店),97220773,准五星商户,香满炉枣木烤鸭,老上海葱油开洋拌面,巧手杏仁奶豆腐
廊亦舫酒楼(张江纳贤路店),98545571,准五星商户,松鼠桂鱼,北京烤鸭两吃,熏鱼
盘湾方舟,504983,准五星商户,真菌泡饭,捞拌凤爪,烤银鳕鱼
苏浙总会(国金中心店),4277498,四星商户,黑松露鹅肝包生菜,天麻鱼唇拆烩鱼头,糖醋仔排骨
云庐(静安寺店),2958343,准五星商户,白带鱼,清蒸东星斑,松茸功夫汤
金时代顺风大酒店(长寿路店),504885,四星商户,法式蜗牛,顺风臭豆腐,东北大拉皮
上海人家花樣年华(万象城店),93771549,准五星商户,拇指虾仁生煎,本帮熏鱼,老上海手剥河虾仁
暗恋桃花源(金桥国际店),98007916,四星商户,金屋藏娇,飘香鱼豆腐,新镇店桃源红烧肉
熠盛料理,18297469,准五星商户,油煎馄饨,虾酱空心菜,毛蟹年糕
新南华大酒店(江湾店),66476753,四星商户,脆皮乳鸽,熏鱼,招牌牛排
汤记传菜(沿南村旗舰店),17884757,准五星商户,水晶鸡,牛肉火锅,红烧肉
苏浙汇(茂名南路店),500505,四星商户,清蒸鲥鱼配面盏,越式牛肉粒,招牌苏浙樟茶鸭
里弄里The Alley,102201569,准五星商户,妙香焗蟹斗,糖醋大黄鱼,荷香少爷鸡
李记羊肉(民宿店),110948768,四星商户,羊肉,羊血羊杂汤,大灶菜饭
喜月小厨(绿地缤纷广场店),103576960,准五星商户,招牌红烧肉,蚝皇干焗蛙腿,青花椒黄金豆桂鱼
海上铂悦餐厅,94260480,准五星商户,椒麻油淋波斯顿龙虾,双味酱牛肉,红糖麻糍
金米箩大酒店(五角场店),506959,准五星商户,菠萝色拉,特色水晶鸡,鲍鱼炒年糕
花厢沈家院子(崇明店),124133735,准五星商户,花厢鱼头皇,宫廷稻香肉,特色素馄饨
张小馆,65325613,准五星商户,响油现划鳝丝,捞汁水云丝,草头圈子
雅科本帮江浙菜(大光明店),2972056,准五星商户,浦江第一排,xo酱杏鲍菇,元宝虾
金时代顺风大酒店(第一百货店),2815780,四星商户,脆皮乳鸽,肉莫蒸臭豆腐,法式蜗牛
正院上海公馆(1885广场店),3671017,准五星商户,果木熏烤牛肉,雪花牛肉麻婆豆腐,清汤海参
星卤里 大师们的味道馆(商城路店),93000923,准五星商户,招牌星卤花胶鸡,星卤三兄弟,招牌辣卤猪手
瑞丰精膳坊(大宁中心广场店),96054640,准五星商户,招牌红烧肉,石锅芋艿,芥味牡丹虾球
金时代顺风港湾(泰兴路店),5580354,准五星商户,本帮熏鱼,顺风红烧肉,顺风臭豆腐
安麓全日餐厅,79264639,准五星商户,鹅肝牛肉,鳝丝面,古镇河鲜面疙瘩
蘇小柳点心专门店(美兰湖店),123599888,准五星商户,晚粳米海鲜泡饭,蘇小柳鲜肉小笼,蒜香排骨
望乡楼精膳坊(日月光中心店),5232771,准五星商户,越式牛肉粒,老上海熏鱼,铁板财神豆腐
竹筷子茸城小菜,123081608,准五星商户,酸汤肥牛,狮子头,椒盐排条
泓叶·精菜坊(东方万国店),107552214,准五星商户,本帮熏鱼,红烧肉,响油鳝丝
兴安餐厅,1916314,四星商户,牛肉爬草头,咸蛋黄排条,椒盐排条
福兴荟(人民广场店),58077566,准五星商户,韭菜膳丝,十三香小龙虾,冰镇龙虾
蘇小柳点心专门店(静安寺店),90590757,四星商户,晚梗米海鲜泡饭,招牌小笼,苏小柳鲜肉锅贴
弄堂咪道(钦州北路店),97546701,准五星商户,油条,咸豆花,弄堂小馄饨
上海老站(徐家汇店),500680,四星商户,上海熏鱼,蟹粉豆腐,清炒河虾仁
蓝轩餐厅,2099410,准五星商户,冰球跳跳虾,黄桃白斩鸡,糖醋小排
小实惠(威海路店),565232,四星商户,香油鳝丝,特色排骨,酒香草头
一得仙宁波海鲜(崂山路店),501954,四星商户,特色海瓜子,招牌黄鱼年糕汤,本帮炒螺蛳
楠山有渔·台州海鲜,97527529,准五星商户,红糖麻糍,海鲜拼盘,三文鱼刺身
丰和日丽(创智天地店),58617981,准五星商户,老娘一手好牌,鲳鱼焖饭,葱油膏蟹
和记小菜(百联东郊店),6586451,准五星商户,黑椒牛肉粒,清炒河虾仁,生焗铁板蒜香虾
丰和日丽(四川北路店),127174865,准五星商户,葱油膏蟹,咸蛋黄鸡翅,状元楼苔菜小方烤
小侑宴·江南船宴(长清路店),104878145,四星商户,北京烤鸭,招牌片皮鸭,咸蛋黄牛蛙锅巴
桃花坞·江南,132814347,准五星商户,京城片皮鸭,烧汁茶树鲜贝,金汤美蛙鳝
老洋房花园饭店,502648,四星商户,老洋房熏鱼,糖醋小排,极品牛肉
老人和饭店(淮海中路店),18186388,四星商户,糟鸡,糟熘鱼片,清炒现划鳝丝
老吉士酒家(浦东丁香店),69729962,四星商户,吉士红烧肉,葱烤鸦片鱼头,蟹膏拌饭
金时代顺风港湾(南京东路店),13782490,准五星商户,爆酱榴莲包,脆皮烤乳鸽,顺风虾饺皇
暗恋桃花源(三林印象城店),122440961,四星商户,飘香豆腐鱼,金屋藏娇,新镇店桃源红烧肉
粤麓轩餐厅(中信泰富广场店),67661750,准五星商户,特色黑椒牛仔粒,老上海核桃冰糕,招牌BB鸭
馨厨香(菏泽店),68987960,准五星商户,蟹仔粉丝,一品香芋煲,创意酒酿圆子
上海会馆(高岛屋店),8087716,准五星商户,招牌牛肉粒,古法熏鱼,红精制红烧肉
乐藏隐融合菜,101897808,准五星商户,本帮熏鱼,咸肉鱼饼蒸膏蟹,清炖狮子头
小胖哥妈妈菜(乐颂坊精致生活广场店),98591830,准五星商户,串烤牛蛙,特色豆皮黄金卷,干锅排骨虾
新白鹿餐厅(百联中环店),23337997,四星商户,蛋黄鸡翅,糖醋排骨,话梅花生
小堂宴(虹桥天地店),127777155,四星商户,外婆神仙鸡,抹茶白玉,古法十三香小龙虾
苏浙汇(大连路店),503720,四星商户,越式牛柳粒,清蒸鲥鱼配面盏,清炒高邮河虾仁
Twelve Hengshan 衡山拾贰中餐厅,6161300,四星商户,泰柚西米杨枝甘露,传统虾饺皇,避风塘九肚鱼
紫阳花园大酒楼,69649951,准五星商户,片皮鸭,酱烧排骨,鱼头汤
金芬食府,1887970,准五星商户,上海油爆虾,油酱毛蟹年糕,酱爆猪肝
上海老饭店,500349,四星商户,八宝鸭,老上海油爆虾,腐乳肉草头圈子
和记小菜(大宁店),5383171,四星商户,清炒河虾仁,招牌生煎包,上海熏鱼
溪林小馆(颛桥万达店),97080510,准五星商户,蒜香粉丝凤尾虾,驰名花雕鸡,老法葱油拌面配黑叉烧
品悦中餐厅,17979414,准五星商户,黑毛猪煨鲜鲍,农家酿茄子,菜饭
和记小菜(龙茗路店),27248119,准五星商户,清炒河虾仁,招牌生煎包,上海熏鱼
梦雅,2781505,准五星商户,茶叶虾,特色五香熏鱼,本帮鳝丝
肥猫餐厅(乐颂坊精致生活广场店),66244526,准五星商户,连骨都不剩的鸡爪,石锅土豆肥牛,外婆红烧肉
新诚嘉酒楼,1952176,准五星商户,北京烤鸭,本帮熏鱼,越式牛仔粒
罗阳人家,2369023,准五星商户,响油鳝丝,玉米烙,红烧鳗鱼
70后饭吧(长宁龙之梦店),22708171,四星商户,上酱肥牛配土豆泥,千叶豆腐煲,70椒麻鸡
茂荪馆,18766328,准五星商户,野生白水鱼,蚌肉豆腐,野生河鳗
金锚传菜(田尚坊商业中心店),24741119,准五星商户,金牌花雕鸡,特色熏鱼,苔条小黄鱼
丰收日(商城路店),500191,准五星商户,葱油海瓜子,水晶虾仁,椒盐龙头烤
是荷·本帮融合餐厅(新场古镇店),69745762,四星商户,杏鲍菇牛仔粒,黄金虾球,会跳舞的钢管鸡
夜上海,500741,四星商户,鲜肉小笼包,花雕醉鸡,蟹粉酿蟹盖
天鹅宫一站式宝宝宴派对(安徒生店),73504761,四星商户,满月酒,宴会套餐1,宴会套餐4
珍后饭馆,3260524,准五星商户,咸蛋黄鸡翅,酒香草头,腐乳空心菜
锦江汤臣洲际大酒店东方食苑,503213,五星商户,香露明虾球,牛肉粒,蛋挞
