name,num,star,sug1,sug2,sug3
肥猫餐厅(松江万达店),126631046,准五星商户,红烧肉,招牌泰式柠檬鱼,销魂鸡爪
黛瓦宴(新业坊店),121937518,五星商户,台州盐卤豆腐,浓汤中华鲟龙筋,中华鲟鱼子酱脆皮饼
火靠·民间菜(田林路店),102177363,准五星商户,老北京烤鸭,山泉石磨豆腐,火焰掌焖鸡
枚青·红楼小宴(月亮湾店),113896072,准五星商户,临安桂花米酿,鲍鱼红烧肉,咸蛋黄南瓜
晶苑餐厅(淮海店),102142645,准五星商户,晶苑精品烤鸭,文火焖雪花牛肉,黑松露布袋野菌包
福1039,587030,五星商户,老上海熏鱼,招牌红烧肉,冰镇黄酒鸡
蘇小柳点心专门店(人民广场店),99058148,准五星商户,鲜肉小笼,晚粳米海鲜泡饭,大根蒜香骨
上海会馆(96广场店),5537819,准五星商户,老上海熏鱼,外婆红烧肉,黑胡椒牛肉粒
桂满陇-陌上花开(八佰伴店),77004673,准五星商户,吮指鸡爪,东坡肉,公主素蟹粉
临江宴,107827959,五星商户,姜汁甲鱼,红烧太湖鳗鱼,黑蒜牛舌
肥猫餐厅(巴黎春天店),59199486,准五星商户,石锅土豆肥牛,连骨都不剩的鸡爪,外婆红烧肉
毛豆阿姨酒家,76992457,准五星商户,银鳕鱼熏鱼,鸡汤馄饨,狮子头
晶焱上海菜,100944436,准五星商户,红烧肉,元宝虾,熏鲈鱼
琵琶蛮·咫尺姑苏(百联又一城店),67675491,准五星商户,九制话梅酱鸭,奶酪枇杷酥,妙音樱花米酒
金龄餐馆,65998263,准五星商户,银鱼炒蛋,白切鸡,白水鱼
琵琶蛮·咫尺姑苏(百联又一城店),67675491,准五星商户,九制话梅酱鸭,奶酪枇杷酥,妙音樱花米酒
忆家一宴(田林店),125339097,五星商户,鲍鱼猪手,牛仔粒,忆家红烧肉
随堂里,98868185,五星商户,麻辣青藤椒牛舌,宝塔东坡肉,茉莉花茶烟熏蒸鱼
桂满陇-桃花山庄(徐家汇店),18602068,准五星商户,吮指鸡爪,红糖麻糍,一桶奇味虾
米桃-吴韵风雅·曲园(南丰城店),110964474,五星商户,鸡汁宜兴笋干,姑苏松鼠鲈鱼,招牌无锡蟹粉小笼包
姜君·千岛湖鱼头馆(浦东大道店),106646803,五星商户,姜君千岛湖鱼头,野山蒜澳排,千岛湖桂花糕
玫瑰厅上海菜(兴国路店),130920925,五星商户,话梅排骨,南瓜小圆子,茭白炒鳝丝
金时代顺风港湾(兰生大厦店),19291562,五星商户,爆浆榴莲,顺风红烧肉,雪菜黄鱼馄饨
月湖萃(东安路店),131453366,五星商户,桂花熏鲳鱼,月湖春色绿豆糕,蟹粉炒虾仁
1943海派菜,130072659,五星商户,清炒河虾仁,酱蛋红烧肉,老烧鳝糊
金时代顺风大酒店(金山店),112005424,五星商户,顺风乳鸽,顺风臭豆腐,生煎包
逸道(外滩源店),93547183,五星商户,逸道慢煮雪花牛肉,二十年花雕蒸长江鲥鱼,江南红烧肉
顶雅阁,66755991,五星商户,现划响油鳝丝,上海熏鱼,清炒河虾仁
万厢,131049472,五星商户,万厢红烧肉,响油鳝丝,鹅肝
